menu_id,restaurant_id,food_id,cuisine,price
21865,153339,45,"Indian,Chinese",239.0
22571,125180,45,"Indian,Chinese",90.0
23356,390901,45,"Chinese,Biryani",85.0
23424,390901,45,"Chinese,Biryani",85.0
23467,127306,45,"Indian,Chinese",95.0
23565,127306,45,"Indian,Chinese",95.0
23888,308169,45,Indian,115.0
23915,308169,45,Indian,115.0
24792,102578,45,"Chinese,Biryani",90.0
24859,102578,45,"Chinese,Biryani",90.0
24960,552372,45,"Chinese,Snacks",70.0
25249,120193,45,"Chinese,Indian",100.0
25290,120193,45,"Chinese,Indian",100.0
25997,102039,45,"Indian,Chinese",66.0
26083,127463,45,Bakery,85.0
26706,242722,45,"Biryani,Chinese",65.0
26814,242722,45,"Biryani,Chinese",65.0
46,567335,46,"Beverages,Pizzas",100.0
3037,161408,46,"North Indian,Fast Food",89.0
3822,242943,46,"European,Italian",159.0
5966,397980,46,"Chinese,North Indian",165.0
6044,397980,46,"Chinese,North Indian",165.0
6198,533186,46,"Biryani,Chinese",185.0
6837,575990,46,"Chinese,North Indian",70.0
8276,102842,46,"Indian,Chinese",99.0
8306,138891,46,"Biryani,Street Food",70.0
8929,428013,46,"Chinese,Indian",110.0
11266,183165,46,Indian,130.0
11310,183165,46,Indian,130.0
11654,131676,46,Chinese,115.0
11667,131676,46,Chinese,115.0
12005,517939,46,"South Indian,Chinese",130.0
12692,174458,46,"Bengali,Indian",160.0
12781,129691,46,"Street Food,Chinese",95.0
12936,486482,46,"Indian,Chinese",99.0
13097,486482,46,"Indian,Chinese",99.0
14325,102582,46,"Bakery,Desserts",100.0
16361,439417,46,North Indian,130.0
20749,102581,46,"Indian,Chinese",190.0
21629,153339,46,"Indian,Chinese",269.0
21867,153339,46,"Indian,Chinese",269.0
22436,370259,46,"Chinese,Snacks",90.0
22500,125180,46,"Indian,Chinese",90.0
22553,125180,46,"Indian,Chinese",90.0
23354,390901,46,"Chinese,Biryani",85.0
23422,390901,46,"Chinese,Biryani",85.0
23468,127306,46,"Indian,Chinese",90.0
23566,127306,46,"Indian,Chinese",90.0
23921,308169,46,Indian,110.0
24795,102578,46,"Chinese,Biryani",150.0
24863,102578,46,"Chinese,Biryani",150.0
26000,102039,46,"Indian,Chinese",66.0
26705,242722,46,"Biryani,Chinese",85.0
26813,242722,46,"Biryani,Chinese",85.0
27780,414252,46,"Bengali,Indian",65.0
27827,414252,46,"Bengali,Indian",65.0
28081,554195,46,"North Indian,South Indian",70.0
47,567335,47,"Beverages,Pizzas",120.0
48,567335,48,"Beverages,Pizzas",100.0
49,567335,49,"Beverages,Pizzas",120.0
50,567335,50,"Beverages,Pizzas",125.0
51,567335,51,"Beverages,Pizzas",125.0
52,567335,52,"Beverages,Pizzas",65.0
53,567335,53,"Beverages,Pizzas",80.0
743,158204,53,Continental,120.0
781,158204,53,Continental,120.0
2061,382204,53,"Chinese,Pizzas",100.0
54,567335,54,"Beverages,Pizzas",120.0
3170,459775,54,"Beverages,Pizzas",199.0
55,567335,55,"Beverages,Pizzas",65.0
56,567335,56,"Beverages,Pizzas",65.0
57,567335,57,"Beverages,Pizzas",90.0
58,567335,58,"Beverages,Pizzas",65.0
59,567335,59,"Beverages,Pizzas",90.0
60,567335,60,"Beverages,Pizzas",40.0
61,567335,61,"Beverages,Pizzas",50.0
62,567335,62,"Beverages,Pizzas",60.0
4367,165532,62,"Indian,Chinese",90.0
5047,226299,62,Biryani,80.0
5252,167412,62,Biryani,100.0
6563,410839,62,Chinese,65.0
6893,410838,62,"Chinese,Tandoor",65.0
7029,410838,62,"Chinese,Tandoor",65.0
8920,428013,62,"Chinese,Indian",65.0
9626,557008,62,"North Indian,Chinese",60.0
9748,557008,62,"North Indian,Chinese",60.0
10573,494588,62,"Chaat,Biryani",65.0
10720,102042,62,"Biryani,Indian",50.0
11335,183165,62,Indian,50.0
12182,154840,62,"South Indian,Indian",65.0
12769,174458,62,"Bengali,Indian",100.0
15081,282630,62,"Chaat,South Indian",100.0
15226,282630,62,"Chaat,South Indian",100.0
15932,523044,62,"Chinese,North Indian",52.0
16563,103649,62,Indian,51.0
17330,377434,62,"Indian,Chinese",80.0
17445,442180,62,"Indian,Bengali",80.0
18009,113036,62,"Indian,Chinese",50.0
18350,109548,62,"Indian,Chinese",100.0
19024,102041,62,"Indian,Biryani",102.0
19141,102041,62,"Indian,Biryani",102.0
19465,378028,62,"Indian,Chinese",89.0
20112,102571,62,Indian,115.0
20356,476303,62,North Indian,80.0
20898,102581,62,"Indian,Chinese",90.0
21838,153339,62,"Indian,Chinese",60.0
23650,111386,62,"North Indian,Chinese",60.0
23858,111386,62,"North Indian,Chinese",60.0
25585,102631,62,"Indian,Chinese",80.0
25831,102039,62,"Indian,Chinese",80.0
26254,109387,62,"Indian,Chinese",65.0
26554,306094,62,"Indian,Chinese",65.0
27749,102040,62,"Indian,Biryani",45.0
28061,530955,62,"South Indian,Chinese",55.0
63,567335,63,"Beverages,Pizzas",65.0
8554,558957,63,"North Indian,Tandoor",70.0
10435,174586,63,"South Indian,North Indian",99.0
12770,174458,63,"Bengali,Indian",100.0
16567,103649,63,Indian,51.0
20357,476303,63,North Indian,80.0
21839,153339,63,"Indian,Chinese",60.0
26545,306094,63,"Indian,Chinese",75.0
64,567335,64,"Beverages,Pizzas",65.0
65,567335,65,"Beverages,Pizzas",80.0
66,567335,66,"Beverages,Pizzas",90.0
67,567335,67,"Beverages,Pizzas",100.0
68,567335,68,"Beverages,Pizzas",125.0
69,567335,69,"Beverages,Pizzas",125.0
70,567335,70,"Beverages,Pizzas",125.0
71,567335,71,"Beverages,Pizzas",90.0
207,531342,71,"Sweets,Bakery",105.0
4740,408059,71,"Sweets,Snacks",100.0
10342,174586,71,"South Indian,North Indian",199.0
10483,174586,71,"South Indian,North Indian",199.0
11417,183165,71,Indian,90.0
16261,545808,71,"Indian,Chinese",169.0
16990,102579,71,"Pizzas,South Indian",185.0
17115,126128,71,South Indian,200.0
72,567335,72,"Beverages,Pizzas",100.0
73,567335,73,"Beverages,Pizzas",80.0
74,567335,74,"Beverages,Pizzas",90.0
75,567335,75,"Beverages,Pizzas",90.0
1831,435582,75,"Pizzas,Beverages",130.0
1973,382204,75,"Chinese,Pizzas",90.0
2239,368328,75,North Indian,90.0
3761,165533,75,American,105.0
3910,242943,75,"European,Italian",110.0
76,567335,76,"Beverages,Pizzas",100.0
77,567335,77,"Beverages,Pizzas",100.0
78,567335,78,"Beverages,Pizzas",65.0
79,567335,79,"Beverages,Pizzas",65.0
5656,549242,79,"Indian,Beverages",65.0
19782,327008,79,"Chinese,Continental",110.0
20844,102581,79,"Indian,Chinese",65.0
80,567335,80,"Beverages,Pizzas",155.0
3772,165533,80,American,230.0
5771,439487,80,"Pizzas,Fast Food",110.0
5859,439487,80,"Pizzas,Fast Food",110.0
7229,133352,80,South Indian,130.0
14189,456922,80,"Beverages,Italian",149.0
16696,430451,80,"North Indian,Chinese",350.0
19735,327008,80,"Chinese,Continental",310.0
22250,132538,80,"Pizzas,Italian",146.0
22287,132538,80,"Pizzas,Italian",146.0
24224,174464,80,"Pizzas,Pastas",289.0
24274,174464,80,"Pizzas,Pastas",289.0
24906,514288,80,"Fast Food,Pizzas",140.0
25181,579040,80,"Beverages,Fast Food",100.0
81,567335,81,"Beverages,Pizzas",180.0
82,567335,82,"Beverages,Pizzas",125.0
83,567335,83,"Beverages,Pizzas",125.0
84,567335,84,"Beverages,Pizzas",125.0
85,567335,85,"Beverages,Pizzas",125.0
86,567335,86,"Beverages,Pizzas",125.0
87,567335,87,"Beverages,Pizzas",100.0
88,567335,88,"Beverages,Pizzas",100.0
89,567335,89,"Beverages,Pizzas",100.0
90,567335,90,"Beverages,Pizzas",90.0
126,531342,90,"Sweets,Bakery",67.0
366,158203,90,Beverages,145.0
1008,407249,90,"Juices,Beverages",104.0
2008,382204,90,"Chinese,Pizzas",120.0
2260,368328,90,North Indian,120.0
2292,530878,90,"Pizzas,Fast Food",150.0
9619,557008,90,"North Indian,Chinese",160.0
9737,557008,90,"North Indian,Chinese",160.0
10213,183009,90,Bakery,125.0
10274,183009,90,Bakery,125.0
10333,174586,90,"South Indian,North Indian",250.0
10467,174586,90,"South Indian,North Indian",250.0
