restaurant_id,user_id,name,city,rating,rating_count,average_cost,cuisine,address
519622,3478,Rajasthan Sharma Hotel,Adityapur,--,Too Few Ratings,200,"Sweets,Snacks","Rajasthan Sharma Hotel, PLOT NO. 70-71, STRAIGHT MILE ROAD, MAIN ROAD DHATKIDIH, P.O & P.S, BISTUPUR, JAMSHEDPUR, JAMSHEDPUR URBAN, PURBI SINGHBHUM, JHARKHAND - 831001"
153339,3481,Chef Corner,Adityapur,3.9,500+ ratings,299,"Indian,Chinese","Chef Corner, 1ST FLOOR,SARLA COMPLEX, KADMA MARKET"
443028,3533,Brunch Italiano,Adityapur,--,Too Few Ratings,200,"Bakery,Desserts","Brunch Italiano, Station Road, Opp. Chappan Bhog, Near  Railway Station, Jugsalai, Jugsalai,  Jamshedpur, Purbi Singhbhum, Jharkhand  - 831002"
226773,3610,AB Palace,Adityapur,3.4,20+ ratings,200,"Chinese,Indian","AB Palace, HOTEL AB PALACE, STATION ROAD, JUGSALAI, JAMSHEDPUR"
385197,3613,Mathura Mistan Bhandar,Adityapur,4.5,100+ ratings,200,"Sweets,Snacks","Mathura Mistan Bhandar, Kadma Bazar,Jamshedpur, Jharkhand-831005"
431115,3617,Bs Bakery & Cafe,Adityapur,--,Too Few Ratings,200,"Bakery,Desserts","Bs Bakery & Cafe, 1ST FLOOR, HOTEL MERIDIAN, STATION ROAD, JAMSHEDPUR, Jugsalai, Jamshedpur, Purbi Singhbhum, Jharkhand-831002"
508583,3661,MUMBAI CHAT,Adityapur,--,Too Few Ratings,100,Chaat,"MUMBAI CHAT, MODI PARK BISTUPUR JAMSHEDPUR"
132538,3670,Pizzapuram,Adityapur,3.7,100+ ratings,200,"Pizzas,Italian","Pizzapuram, C H AREA, ROAD NO 5, BANGLOW NO 11,NEAR KIDZEE SCHOOL, SONARI,JAMSHEDPUR"
394140,3682,SURESH SOUTH INDIAN KITCHEN,Adityapur,--,Too Few Ratings,200,South Indian,"SURESH SOUTH INDIAN KITCHEN, MATHURA MISTAN BHANDAR ROAD, KADMA, JAMSHEDPUR, PURBI SINGHBHUM, JHARKHAND - 831005"
124500,3687,Gopal Dosa,Adityapur,4.1,100+ ratings,100,South Indian,"Gopal Dosa, jubliee Park gate, Sackhi, Sakchi, Jamshedpur"
370259,3701,Apna Adda,Adityapur,4.1,50+ ratings,150,"Chinese,Snacks","Apna Adda, Flat No. C3 / 1,4th Floor,Shri Sharda Krishna Apartment,Dhananjay Path,Uliyan,Kadma,Jamshedpur,Purbi Singhbhum,Jharkhand-831005"
533855,3723,Aryan Maggi Stall,Adityapur,--,Too Few Ratings,150,"Fast Food,Pastas","Aryan Maggi Stall, Outer Circle road, Gwalpara, Kadma, Jamshedpur, Purbi Singhbhumi, Jharkhand, 831005"
125180,3726,Babu Moshai,Adityapur,4.0,50+ ratings,349,"Indian,Chinese","Babu Moshai, SHIVA USHA COMPLEX, ULLIYAN KADMA"
263297,3737,Junction Restaurant,Adityapur,3.7,1K+ ratings,399,"Indian,Biryani","Junction Restaurant, 53,SAKCHI, NEW PLANNING AREA, THAKURBARI ROAD, PURBI SINGHBHUM"
410629,3740,Mintelaa,Adityapur,--,Too Few Ratings,1000,"Chinese,Indian","Mintelaa, 3RD FLOOR, BASANT CENRAL, HANDI LINE ,PO PS SAKCHI JAMSHEDPUR, PurbiPremises Address Singhbhum, Jharkhand-831001"
461084,3748,The Bihari  Resturant,Adityapur,4.4,50+ ratings,200,"North Indian,Snacks","The Bihari  Resturant, Right side from kali Mandir, 416 A, Ecc Flat Ulliyan, kadma Jamshedpur Near-Kerala Public School, Jamshedpur, Jharkhand 831005"
499377,3753,DELIGHT FOOD CORNER,Adityapur,--,Too Few Ratings,100,Chinese,"DELIGHT FOOD CORNER, H.NO 20 ASHOK PATH DOWN BABA LOKNATH PATH BHATIA BASTI"
390901,3757,Delhi Darbar (Sakchi ),Adityapur,3.7,100+ ratings,200,"Chinese,Biryani","Delhi Darbar (Sakchi ), 1 , GROUND FLOOR , SARKAR BUILDING,  OLD PURULIA RD, SAKCHI, Sakchi,  Muncipality, Purbi Singhbhum, Jharkhand  - 831001"
127306,3783,Shyam Store,Adityapur,--,Too Few Ratings,250,"Indian,Chinese","Shyam Store, BANGLA NO.17 BACK SIDE CH AREA , NEAR SBI BNK XLRI, BISTUPUR"
111386,3810,The Hungry Bird,Adityapur,3.9,500+ ratings,300,"North Indian,Chinese","The Hungry Bird, 6, Infront of astha cottage, uliyan, sonari, Jamshedpur"
308169,3813,FOODILICIOUS,Adityapur,--,Too Few Ratings,400,Indian,"FOODILICIOUS, HOUSE NO 2  BAJRANG PATH ULIYAN KADMA JAMSHEDPUR Muncipality Purbi Singhbhum Jharkhand 831005"
537808,3828,The Kannelite,Adityapur,--,Too Few Ratings,599,"Indian,Snacks","The Kannelite, PLOT NO 2002, WARD NO 07, SAKCHI MAIN  ROAD BESIDE POLICE STATION,  Dhalbhumgarh, Purbi Singhbhum,  Jharkhand-831001"
433648,3844,Manohar Chat,Adityapur,4.1,100+ ratings,150,"Chinese,Chaat","Manohar Chat, Handi Line, Sakchi Market, Purbi Singhbhum, Sakchi, Jamshedpur"
115931,3852,Dosa Hut,Adityapur,4.0,100+ ratings,200,"South Indian,Chinese","Dosa Hut, 101, Alison's Apartment Aambagan, Sakchi, Jamshedpur"
579047,3855,Cook'S Corner,Adityapur,--,Too Few Ratings,200,"Chinese,Indian","Cook'S Corner, Singh Complex Balajee Nagar Govindpur Chota Govindpur"
174464,3866,Chicago Pizza,Adityapur,3.1,100+ ratings,299,"Pizzas,Pastas","Chicago Pizza, 1ST FLOOR,HOLDING NO 39, OPPOSITE BASANT CINEMA, SAKCHI JAMSHEDPUR"
163435,3869,New Chappan Bhog - Sakchi,Adityapur,4.3,100+ ratings,200,"Sweets,Snacks","New Chappan Bhog - Sakchi, KALIMATI ROAD, OPP. SAKCHI GURUDWARA"
417015,3921,Laziz Pizza,Adityapur,3.9,100+ ratings,300,"Pizzas,Beverages","Laziz Pizza, JAYANT BUILDING, H.NO-2, S.N.P AREA,  SAKCHI, Sakchi, Muncipality, Purbi  Singhbhum, Jharkhand - 831001"
376602,3998,SAKCHI MISTAN BHANDAR,Adityapur,4.2,100+ ratings,200,"Sweets,Snacks","SAKCHI MISTAN BHANDAR, 2/2, HOTEL LINE, JHANDA CHOWK, SAKCHI, P.O & P.S. SAKCHI, JAMSHEDPUR URBAN, PURBI SINGHBHUM (JHARKHAND) - 831001"
546139,4001,BIKKGANE BIRYANI,Adityapur,4.1,100+ ratings,350,"Biryani,Hyderabadi","BIKKGANE BIRYANI, House No. 0053, Thakur Bari Road, Sakchi New Planning Area, Jamshedpur, Purbi Singhbhum, Jharkhand-831001"
102578,4005,Campus Adda,Adityapur,3.9,100+ ratings,200,"Chinese,Biryani","Campus Adda, Parulia Highway, Sakchi Market, Sakchi, Jamshedpur"
503432,4049,NEW KOLKATA ARSALAN BIRYANI,Adityapur,3.8,50+ ratings,250,"Biryani,Fast Food","NEW KOLKATA ARSALAN BIRYANI, SHOP NO 24-01, MUHRI LINE , SAKCHI , JAMSHEDPUR , PURBI  SINGBHUM , JHARKHAND 831001"
514288,4058,Pizza Campus,Adityapur,--,Too Few Ratings,150,"Fast Food,Pizzas","Pizza Campus, Sakchi, Behind Ravidnranath Tygore School,  Jamshedpur, Sakchi, Jharkhand- 831001"
552372,4070,Deep Delighted Kitchen,Adityapur,--,Too Few Ratings,150,"Chinese,Snacks","Deep Delighted Kitchen, Subarnarekha link Road , Sakchi, Golmuri,  Jamshedpur, Purbi Singhbhum, Jharkhand  - 831001"
385938,4075,Biryani By Kilo,Adityapur,4.1,500+ ratings,600,"Biryani,Hyderabadi","Biryani By Kilo, HOLDING NO-16,MILLS & GODOWN ROAD AREA, KALI MATI ROAD,BLOCK-JAMSHEDPUR"
164297,4089,American Waffle House,Adityapur,4.1,100+ ratings,200,"Waffle,Ice Cream","American Waffle House, Sakchi, Aambagarn, beside keventers"
579040,4111,Chai Sutta Bar,Adityapur,--,Too Few Ratings,200,"Beverages,Fast Food","Chai Sutta Bar, ground floor, avishkar building, \\\\r\\\\nbeside mahindra showroom, \\\\r\\\\nkharkai link road, Jamshedpur, \\\\r\\\\nPurbi Singhbhum, Jharkhan, \\\\r\\\\nMuncipality, Purbi Singhbhum, , \\\\r\\\\nJ"
539663,4114,New Dolphin Bakery,Adityapur,--,Too Few Ratings,250,Bakery,"New Dolphin Bakery, Shop No 27, Ambagan Masjid Complex, Sakchi, Jamshedpur, Jamshedpur, Purbi Singhbhum, Jharkhand- 831001"
120193,4125,Lakhi Egg Roll & Caterer,Adityapur,3.5,100+ ratings,299,"Chinese,Indian","Lakhi Egg Roll & Caterer, H-38, Sakchi Market, Near Basant Talkies"
102631,4128,The White Rose,Adityapur,3.9,100+ ratings,499,"Indian,Chinese","The White Rose, Taj Building, 30 Aambagan Sakchi"
189441,4136,The Belgian Waffle Co.,Adityapur,4.5,100+ ratings,200,"Beverages,Desserts","The Belgian Waffle Co., RISHAB SHANTI APARTMENT  142  SHOP NO 2  AAMBAGAN ROAD  SAKCHI  JAMSHEDPUR 831001"
102039,4141,Saffron,Adityapur,4.0,100+ ratings,400,"Indian,Chinese","Saffron, Parulia Highway, Sakchi Market, Sakchi, Jamshedpur"
127463,4145,Brunch Italiano (sakchi),Adityapur,3.7,50+ ratings,300,Bakery,"Brunch Italiano (sakchi), Opposite Shitla Mandir Chowk, Near Vodafone, Sakchi, Jamshedpur"
109387,4171,Uttar Dakshin,Adityapur,3.7,500+ ratings,200,"Indian,Chinese","Uttar Dakshin, Kalimati Road Near Howrah bridge, Sakchi"
306094,4198,SAGAR RESTAURANT,Adityapur,4.1,20+ ratings,299,"Indian,Chinese","SAGAR RESTAURANT, [00007, BLOCK NO 1, SAKCHI MARKET, KALI MATI ROAD, SAKCHI, JAMSHEDPUR URBAN, PURBI JHARKHAND"
102577,4201,Silver Spoon,Adityapur,4.2,100+ ratings,200,Indian,"Silver Spoon, Aam Bagan, sakchi, Sakchi, Jamshedpur"
242722,4216,Pappu Hotel,Adityapur,3.0,100+ ratings,200,"Biryani,Chinese","Pappu Hotel, KALIMATI ROAD, NEAR SAKCHI GURUDWARA, SAKCHI, JAMSHEDPUR"
528374,4232,Shreshtham,Adityapur,3.5,20+ ratings,200,"Snacks,Sweets","Shreshtham, Plot 83, BB Tower, Ground Floor, 1st Floor, 2nd Floor, Near Sitla Mandir, Tank Road, Purbi Singhbhum, Sakchi, Jamshedpur"
355563,4240,Royal Max - Sakchi,Adityapur,--,Too Few Ratings,399,"Bakery,Pizzas","Royal Max - Sakchi, OPPOSITE BLUE DIAMOND RESTAURANT, KALIMATI ROAD, SAKCHI, JAMSHEDPUR - 831001,  Purbi Singhbhum, Jharkhand-831001"
417020,4243,The Biryani Boxx,Adityapur,3.7,20+ ratings,200,"Biryani,Beverages","The Biryani Boxx, JAYANT BUILDING, H.NO-2, S.N.P AREA,  SAKCHI, Sakchi, Muncipality, Purbi  Singhbhum, Jharkhand - 831001"
385636,4254,CAKE PLANET,Adityapur,--,Too Few Ratings,200,"Bakery,Desserts","CAKE PLANET, 16, AAMBAGAN ROAD P.O SAKCHI , Sakchi, Muncipality, Purbi Singhbhum, Jharkhand-831001"
546127,4257,BIRYANI BADSHAH,Adityapur,4.1,50+ ratings,350,"Biryani,Hyderabadi","BIRYANI BADSHAH, House No. 0053, Thakur Bari Road, Sakchi New Planning Area, Jamshedpur, Purbi Singhbhum, Jharkhand-831001"
195788,4309,Tinkoniya Hotel,Adityapur,3.9,50+ ratings,150,"Snacks,Sweets","Tinkoniya Hotel, Sakchi, Jamshedpur, Jharkhand, India"
102040,4386,Pappu Restaurant,Adityapur,3.4,500+ ratings,200,"Indian,Biryani","Pappu Restaurant, Hotel Sagar, 14/4, Nand Singh Area, New Kalimati road"
414252,4389,Jalsa Restaurant,Adityapur,4.3,100+ ratings,200,"Bengali,Indian","Jalsa Restaurant, Holding No-46, SNP area, Thakurbari  Road, P.O and P.S Sakchi, Sakchi,  Jamshedpur Urban, Purbi Singhbhum,  Jharkhand - 831001"
484449,4393,Brother's Chaap and Dhaba,Adityapur,4.0,20+ ratings,200,"North Indian,Snacks","Brother's Chaap and Dhaba, PLOT 3522, DARU BHATTI ROAD, SAKCHI, JAMSHEDPUR - 831001"
530955,4437,A2B  Anirams Aahar Bhavan,Adityapur,--,Too Few Ratings,300,"South Indian,Chinese","A2B  Anirams Aahar Bhavan, GROUND FLOOR, PACIFIC HEIGHT, H.NO-  34, PURULIA HIGHWAY, AMBAGAN,  SAKCHI, JAMSHEDPUR, Sakchi,  Jamshedpur Urban, Purbi Singhbhum,  Jharkhand - 831001"
554195,4446,THE HUNGER OUT,Adityapur,--,Too Few Ratings,200,"North Indian,South Indian","THE HUNGER OUT, Kasidih line no 1, near Sai glasses, near Durga Puja maidan, sakchi jamshedpur,india"
